Stages	CYR61	HSPA6	RGS1	BTG2	ATF3	ETV3	PTGS2	EGR4	EGR1	DUSP1	CDKN1A	TRIB1	NR4A3	DUSP5	EGR2	NPAS4	NR4A1	FOS	JUNB	FOSB	PPP1R15A	SIK1	GPR183	NEDD9	SPRY2
Stage_2	6.84626	5.79926	3.91178	7.56025	4.5357	7.25237	4.70993	5.98752	6.55523	8.47767	5.9491	7.9919	5.27656	5.4958	4.64669	4.63394	5.43138	5.82696	6.74037	5.52373	6.64729	6.98748	4.84062	6.98605	10.1902
Stage_2	7.25694	5.48877	4.11782	7.12985	4.2181	8.10185	3.65304	5.33864	6.9553	8.27603	5.36051	8.26118	6.29774	5.20139	4.69159	4.26866	5.32111	4.96898	6.31115	5.03036	7.61362	7.62866	4.31332	8.04276	8.79517
Stage_2	7.33503	5.73562	3.79677	6.96084	4.90399	7.85488	3.96304	5.8438	8.05024	8.10991	5.56905	8.18699	6.26606	5.39434	4.94703	4.55937	5.67824	5.64673	6.58955	5.60767	7.23863	7.40531	4.74502	8.32908	8.88525
Stage_2	7.01173	5.38363	3.93229	6.95185	4.2519	7.68804	3.76376	5.83254	6.68631	8.02758	5.5813	8.49874	6.68878	5.45407	4.69442	4.55065	5.29327	5.06657	6.60968	5.24385	7.75732	7.39068	4.03311	7.90445	9.35087
Stage_2	6.55795	5.11265	3.96264	7.15751	4.28556	7.19528	3.84446	5.56141	7.36202	8.126	5.22645	8.04088	5.9448	5.48471	4.79324	4.558	5.30823	5.69823	6.77496	5.29627	7.9947	7.95522	4.52126	6.96717	9.26261
Stage_2	4.7759	5.72388	3.95243	6.88089	4.73552	6.90045	4.36312	5.83827	6.31761	8.02147	5.26321	7.88881	6.89632	4.96103	4.74413	4.68849	5.22761	4.66573	6.57976	5.08742	7.70087	6.98058	4.13932	6.01493	8.93983
Stage_2	4.77213	5.88937	4.00395	6.88382	5.41755	7.18245	3.90769	5.92267	6.20584	7.19998	4.97844	8.99565	5.97611	4.55801	5.0077	4.72202	5.45979	5.23107	6.92947	6.11226	8.45648	6.71139	4.90648	6.26086	9.39184
Stage_2	6.26562	5.33197	4.02558	7.35015	4.44867	7.34808	4.20646	5.4272	7.82677	8.83848	5.29692	8.57677	6.2341	5.71914	4.95401	4.37686	5.07231	5.72126	6.87842	5.35556	7.44812	7.6629	4.61609	7.02824	9.8566
Stage_2	6.65112	5.17682	4.10703	7.78412	4.20173	7.87149	3.98072	5.89932	7.53993	9.36643	5.45223	8.23109	6.17716	6.13925	4.56371	4.49036	5.32666	6.17027	7.24471	5.43194	7.7254	7.42157	4.50332	6.7869	9.69271
Stage_2	8.17649	5.7915	4.70007	7.01564	5.08505	6.99786	3.95328	5.57074	5.9955	8.91528	5.26853	7.80477	5.3739	4.71157	4.74071	4.91444	5.15252	6.09806	6.74717	5.25411	7.53476	6.49841	5.07773	7.53318	9.52935
Stage_2	8.25585	5.8217	5.20594	7.35064	5.00059	7.30558	4.24348	5.59898	6.92268	9.17675	5.3693	7.82522	5.32468	4.8124	4.72794	4.73812	5.24788	6.04043	6.44637	5.36263	7.89111	6.94183	5.81149	7.46658	9.90314
Stage_2	9.5324	6.66774	4.97523	8.02177	5.70144	7.23306	4.35537	6.18717	6.23647	9.10928	5.18996	6.97408	4.73264	5.01226	4.74605	4.66953	5.35536	6.23742	6.81973	5.23976	7.90592	6.69587	5.60403	7.35481	9.30497
Stage_2	9.74238	5.7271	4.70734	8.24475	5.1294	6.69293	4.22661	6.30824	5.95971	8.93925	5.61455	6.97554	5.06534	4.316	4.87249	4.64285	5.38852	6.40922	6.54676	5.02329	8.07195	6.5511	5.40562	7.14862	8.78176
Stage_2	7.68952	5.28872	4.93688	7.57071	5.1004	7.16225	3.93133	5.3874	6.21527	9.1132	6.5838	8.07258	6.0142	5.31188	4.59875	4.40744	5.43282	5.83668	6.71276	5.07508	7.85708	7.21923	5.03967	8.19052	8.33116
Stage_2	7.27356	5.10496	4.34939	7.29172	5.15803	7.25445	3.9126	5.11846	6.65507	8.66947	6.31862	7.42915	5.66058	5.23618	5.02685	4.56325	5.59646	5.96282	6.42588	5.40497	7.22627	7.51225	5.24705	8.68025	8.60231
Stage_2	7.25857	5.72869	4.74887	6.99326	5.35345	6.43981	4.24667	5.47029	5.60227	8.45123	5.10032	7.15833	4.96673	4.95168	4.69046	4.71177	5.44273	5.23816	6.66081	5.29287	8.76711	6.50303	6.10331	6.54201	7.05276
Stage_2	7.39849	5.67197	4.65013	7.33266	5.1766	6.76785	3.8076	5.26521	6.31231	8.73326	5.26772	7.46411	5.52032	4.46414	4.27461	4.49085	4.7778	5.34706	6.2478	5.11876	8.8138	6.83748	5.43313	6.90073	8.34071
Stage_2	7.24407	5.645	5.0568	7.85572	5.40973	7.40951	4.7181	6.46038	7.27399	7.7422	6.98957	7.67065	7.5467	5.39882	4.89719	4.77335	5.6516	5.30441	7.55596	5.44459	6.87322	7.31107	5.86585	8.55603	8.53056
Stage_2	7.31551	5.27248	4.93702	7.95953	4.72543	7.32049	4.5676	5.45406	7.86384	8.80532	7.39968	8.0436	6.99505	5.78812	4.61784	4.12254	5.428	5.39326	6.50796	5.19009	6.80315	7.42059	6.04328	8.73497	8.60426
Stage_2	8.63192	5.77663	4.46688	6.64483	5.33395	6.5346	4.39024	5.79729	6.2838	8.55173	5.58063	6.83888	4.94921	4.47926	4.7467	4.70459	5.27801	5.83199	6.57303	4.78078	7.30828	6.51201	4.87507	6.90021	9.57326
Stage_2	9.12814	5.63056	5.14028	7.54535	4.90012	6.92131	4.21179	5.53285	6.30036	8.77847	5.56383	6.97251	5.12796	4.91906	4.90446	4.73817	4.88609	5.95027	5.95346	5.04209	8.21914	6.8041	4.95368	6.71039	8.86815
Stage_2	6.79557	5.34264	4.61528	7.77092	4.86447	7.52808	4.04399	5.78527	6.4929	8.3617	5.52899	7.64047	7.02967	5.57728	4.79624	4.62667	5.90578	5.49232	7.19881	5.55319	7.12418	7.74654	5.17336	8.66892	8.50149
Stage_2	7.16223	5.26197	4.6305	7.41727	5.28002	7.20622	3.98226	6.13778	6.19887	8.55048	5.74932	7.9873	7.15604	4.82272	5.11449	4.54195	5.66999	5.34634	6.94626	5.50862	6.73582	7.59525	5.36897	8.85966	8.12887
Stage_2	8.48695	5.92493	4.66132	7.13329	5.37189	6.81917	4.29801	5.41355	6.49138	8.14684	5.72314	7.00981	5.06514	5.05747	5.37372	4.96205	5.87416	5.5079	7.49789	5.82228	6.99669	6.52734	5.21811	6.81605	7.6843
Stage_2	9.834	6.42294	4.77202	7.90101	5.38319	6.79728	4.08985	5.90913	6.2855	8.74542	5.48378	7.03453	4.85233	4.99894	5.04992	4.55022	5.40613	5.76118	7.24905	5.3335	7.89809	6.49199	4.89918	7.20384	8.70926
Stage_2	8.09122	5.41906	4.66651	7.25192	5.72292	7.61769	4.00429	5.82732	6.20575	8.46665	5.61583	7.28948	5.20667	4.54152	4.9267	4.80887	5.69468	6.51147	6.54605	5.22546	7.40166	7.39332	4.93099	8.55905	9.66763
Stage_2	8.04002	4.9263	5.2509	7.47575	5.20063	7.38201	4.07709	5.33523	6.60716	9.28829	5.26811	7.65752	6.20068	5.56254	4.73428	4.45419	5.80189	6.45716	7.02567	5.12722	7.32529	7.57444	5.44685	8.60527	9.3792
Stage_2	8.05118	5.35339	4.85182	7.2313	5.32695	7.87817	4.03925	4.98312	7.09531	9.1398	4.81831	8.41761	6.03242	4.94764	4.67265	4.04556	5.44304	5.95874	6.85984	5.29352	7.60022	7.44315	5.13201	8.78045	8.38828
Stage_2	7.68886	5.78157	5.28505	7.32541	5.34231	7.93401	4.63652	6.49101	7.50664	8.86692	5.35296	8.54889	5.91868	5.2566	5.26346	4.5955	6.32134	5.50568	7.51198	5.22468	6.41961	6.89135	5.57199	8.97921	8.51331
Stage_2	7.31199	5.47032	4.33803	7.43501	4.92909	7.27275	3.92452	5.46363	6.23588	8.69074	6.18188	7.37155	6.43806	5.25088	4.53101	4.40279	5.26717	5.69406	6.23675	4.90306	7.75546	7.30706	4.97466	7.97877	8.36977
Stage_2	6.90287	5.62404	5.39901	7.44179	5.0408	6.89805	4.1544	5.57394	6.57668	7.73773	6.27763	7.41702	5.65253	5.52339	4.69125	5.00046	5.61365	5.55467	6.56872	5.01912	7.02156	7.52646	5.16638	8.13854	8.57855
Stage_2	8.13136	5.26504	5.15066	7.43318	4.80314	8.3612	4.01898	5.52975	6.82511	9.31814	5.32218	8.87616	6.19675	5.02886	4.65183	4.40253	5.63513	5.91552	6.30381	5.00129	7.84498	7.41168	5.518	8.16449	9.19128
Stage_2	8.07043	5.31255	5.07454	7.47899	4.99775	8.1082	4.00256	5.40369	6.82686	8.93102	5.30872	8.605	6.34974	5.41675	4.70595	4.40862	5.38241	5.92835	6.38762	5.08311	7.78235	7.26958	5.33764	8.60423	9.16229
Stage_2	7.21553	5.2941	4.83752	7.27165	5.3088	7.27306	3.87787	5.74255	6.58983	8.19639	5.20705	8.7932	6.15967	4.74067	4.63318	4.61226	5.40258	5.30033	6.90437	5.13526	7.65989	7.36244	5.36905	8.11196	9.39572
Stage_2	7.82355	5.26713	4.82734	7.86031	4.98532	7.84129	4.02422	5.17068	7.058	9.26134	6.00267	8.72396	6.80217	5.36207	4.70837	4.03977	5.34397	5.69464	6.60856	5.09679	7.71805	7.44972	5.46034	8.69209	9.01807
Stage_2	6.98179	5.60116	4.77207	7.14186	5.40244	7.28824	3.99647	5.45274	7.01273	8.11069	5.02052	9.13224	5.49905	5.07088	4.50343	4.59027	5.42315	5.69894	6.72104	5.43727	8.71407	7.01637	5.61446	6.06528	9.77358
Stage_2	6.60922	5.43135	4.94421	6.98782	5.45489	7.071	4.44622	5.92545	6.22491	7.7412	4.91983	9.28865	5.10866	5.08244	5.18159	4.42198	5.61532	4.80875	6.98797	5.85049	8.24127	6.80881	5.55425	6.54152	9.93321
Stage_3	5.22091	6.25623	4.7761	6.3451	5.34026	7.58202	4.69734	5.99068	7.32125	8.25762	5.44034	8.80154	8.19557	4.6583	5.03602	4.61516	5.36084	6.02254	6.48163	5.7317	7.82778	8.37075	4.96868	8.68246	9.23056
Stage_3	4.9034	5.04961	4.30229	6.81929	4.33778	7.76983	4.32198	5.65966	7.08756	8.77775	4.97862	8.73463	8.18992	5.07206	4.67844	4.57164	5.10662	5.43923	7.32522	5.48856	8.22822	8.82634	4.8667	8.64891	9.05464
Stage_3	5.23522	6.79169	4.30305	7.42103	5.0945	6.70676	4.26759	6.12112	6.38833	8.34559	4.88284	7.77183	6.55977	5.12278	4.80594	4.76273	5.21503	5.22075	7.17353	5.81566	6.85954	6.70048	5.19317	6.89755	9.23546
Stage_3	5.81007	5.46539	4.22714	6.68709	4.14281	7.62209	4.18896	5.75526	7.43751	9.69017	4.96436	7.50016	7.4252	5.81657	4.37407	4.5544	5.05888	6.53674	6.96626	5.40955	8.08544	6.43678	4.4043	6.30325	9.78275
Stage_3	4.77891	5.30274	4.12993	7.07893	4.15965	7.20737	4.2015	5.41392	7.43892	9.20266	5.0443	9.16937	5.15344	5.50539	4.60212	4.25015	4.75112	5.97695	6.84918	5.29003	8.59327	6.69906	4.52943	5.24719	10.0313
Stage_3	4.89714	5.46157	4.06526	6.40322	4.00862	6.67155	4.18966	6.176	7.33059	9.15948	5.19784	9.20495	5.05444	5.53085	4.75685	4.2252	5.2507	5.59683	7.28907	5.28073	8.51883	6.83394	4.37599	5.35176	9.93686
Stage_3	4.872	6.04775	4.27236	6.64192	4.28877	7.1478	6.42761	6.06378	6.34773	8.95147	5.07222	9.03577	7.8139	5.05231	4.89696	4.66169	5.63259	5.22243	7.06835	5.76639	7.9283	7.92633	5.06209	8.77357	8.18163
Stage_3	5.03509	5.18052	4.01907	6.79664	4.28451	7.22889	6.32784	6.06687	6.60981	9.14801	4.82925	9.02746	7.28442	5.21276	4.9625	4.46651	5.25713	5.656	7.67254	5.85705	7.40021	7.85114	5.1287	8.50729	8.1322
Stage_3	5.94076	6.17942	3.85384	7.28994	4.86358	6.98556	4.04344	6.22521	6.8815	7.83415	5.64433	7.40631	9.05601	5.34982	5.05204	4.70075	5.73657	5.55147	7.09348	5.92009	7.18289	7.80247	4.92707	8.20802	8.11971
Stage_3	6.4892	5.64422	4.18427	7.15568	4.22718	7.73625	3.92635	6.28505	7.77354	9.00961	5.55259	7.661	9.10448	6.29431	5.05591	4.46214	5.54245	5.90905	7.51004	5.45936	7.43487	7.0239	4.84337	8.05161	9.0479
Stage_3	4.47822	5.95366	4.38991	6.87175	4.15058	7.04981	4.87275	6.40629	5.68004	9.28059	5.13636	8.97017	8.2317	6.26288	4.79918	4.82295	5.08125	5.52239	7.13461	5.41258	7.57823	8.65426	4.9967	9.43311	8.47594
Stage_3	4.96219	5.35638	4.31974	6.57736	3.98109	7.81602	4.51317	5.94483	6.87811	9.21711	5.05093	8.84504	8.40918	5.26582	4.57673	4.58745	4.7782	5.79569	7.06282	5.52364	8.3049	9.06676	4.47733	8.91145	8.55529
Stage_3	4.83548	6.28914	4.36167	6.87788	4.93728	6.95145	3.83189	6.32156	6.36319	8.37255	5.18182	8.55913	8.7577	5.3769	5.03686	4.60956	5.44059	5.92542	7.74924	5.93883	7.49117	8.75129	5.65236	9.05596	8.79371
Stage_3	4.86284	5.97279	4.31829	6.69221	4.205	7.15653	3.91881	6.22825	6.80199	9.03839	4.90325	8.30678	8.59992	4.99094	5.02411	4.5702	5.49345	5.79291	7.14008	5.82253	7.88601	8.92322	4.87133	9.23136	9.11523
Stage_3	4.85951	6.46118	4.04124	6.46169	4.27803	6.81127	5.71824	6.01096	6.57923	8.7337	5.08148	9.34889	8.18521	5.57114	4.88207	4.45664	5.47685	5.20441	7.16887	5.85628	7.41492	8.40987	5.09119	9.1813	8.12509
Stage_3	4.32495	5.06139	4.18591	6.38529	4.18371	7.4865	5.48124	6.04586	7.00557	8.92838	5.20326	9.41054	8.15627	5.58765	4.80051	4.3268	5.2067	5.54774	6.95744	5.40131	8.05649	8.79508	4.67933	9.34558	8.38184
Stage_3	4.86642	6.02154	4.35901	6.30541	3.94249	6.95607	4.01728	5.2508	7.12593	9.21241	4.67763	7.20235	5.09941	4.80964	4.55259	4.24084	4.98539	5.94747	7.08103	5.40818	8.22229	6.11921	4.51038	6.52412	9.31193
Stage_3	4.82503	5.87822	4.52783	7.0798	4.16904	6.69011	4.34774	5.75353	6.12528	9.42772	4.78498	7.65051	5.28566	4.52502	4.37973	4.185	5.22384	6.01828	6.89844	5.40003	8.26356	6.26982	4.13968	6.94836	9.12963
